Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",4.3.1957,66740,1902,
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",26.7.2017,91142,1916,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",4.3.1957,1800,1888,
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",31.12.2012,1551152,2013 (1888),
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",6.7.2011,1467373,1989,
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5.5.1997,796343,1982,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",20.3.2017,2488,1969,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",2.10.1998,874761,1981,
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",28.5.1999,4977,1955,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",5.6.2000,1090872,1999,
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",30.4.1985,2969,1940,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",18.9.2023,1559720,2008,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12.7.2007,1086222,1998,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",1.7.2016,915913,1994,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",20.3.2017,1035443,1994,
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",19.6.2017,1097149,1997,
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2.12.2013,1579241,1908,
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",1.7.2016,352541,1917,
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",13.7.1995,899051,1931,
GOOGL,Alphabet Inc.(Class A),Communication Services,Interactive Media & Services,"Mountain View, California",3.4.2014,1652044,1998,
GOOG,Alphabet Inc.(Class C),Communication Services,Interactive Media & Services,"Mountain View, California",3.4.2006,1652044,1998,
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",4.3.1957,764180,1985,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",18.11.2005,1018724,1994,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",7.6.2019,1748790,2019 (1860),
AMTM,Amentum,Industrials,Diversified Support Services,"Chantilly, Virginia",30.9.2024,2011286,2020,
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",19.9.1991,1002910,1902,
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",4.3.1957,4904,1906,
AXP,American Express,Financials,Consumer Finance,"New York City, New York",30.6.1976,4962,1850,
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",31.3.1980,5272,1919,
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",19.11.2007,1053507,1995,
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",4.3.2016,1410636,1886,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",3.10.2005,820027,1894,
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23.9.2013,1037868,1930,
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",2.1.1992,318154,1980,
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",30.9.2008,820313,1932,
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",12.10.1999,6281,1965,
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",19.6.2017,1013462,1969,
AON,Aon,Financials,Insurance Brokers,"London, UK",23.4.1996,315293,1982 (1919),
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",28.7.1997,1841666,1954,
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30.11.1982,320193,1977,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",16.3.1995,6951,1967,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",24.12.2012,1521332,1994,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",1.11.2022,947484,1995,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",4.3.1957,7084,1902,
